Product Name,Price,Images
Xiaomi Notebook Pro 15.6 inch Core i5 8GB RAM 256GB SSD GTX 1050 Max-Q - Abu-abu,Rp14.990.000,"<img alt=""Xiaomi Notebook Pro 15.6 inch Core i5 8GB RAM 256GB SSD GTX 1050 Max-Q - Abu-abu"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/9/4/11879544/11879544_76e020bd-a725-4a5c-ab2f-b4043b20ea07_1080_1080.webp"" title=""""/>"
Laptop Gaming Lenovo Thinkpad E550 RAM 8GB - SSD - VGA 2GB MURAH - SSD 128GB,Rp4.850.000,"<img alt=""Laptop Gaming Lenovo Thinkpad E550 RAM 8GB - SSD - VGA 2GB MURAH - SSD 128GB"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/1/cf4b605c-870a-466f-90e5-48fa9dcfbdeb.jpg.webp"" title=""""/>"
Laptop Dell 6510 Core i7 - VGA NVDIA - Super murah - Beragaransi,Rp2.849.000,"<img alt=""Laptop Dell 6510 Core i7 - VGA NVDIA - Super murah - Beragaransi"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/9/f0482908-2c7f-4141-9a19-2fad496d6290.jpg.webp"" title=""""/>"
laptop toshiba satelit l310 dual core ram 2gn hdd 320gb,Rp730.000,"<img alt=""laptop toshiba satelit l310 dual core ram 2gn hdd 320gb"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/5/65b14383-4e46-4219-b866-d88ff08f9a13.jpg.webp"" title=""""/>"
LAPTOP LENOVO THINKPAD YOGA 12 TOUCHSCREEN-CORE I5 GEN 5-8GB-256GB,Rp5.899.000,"<img alt=""LAPTOP LENOVO THINKPAD YOGA 12 TOUCHSCREEN-CORE I5 GEN 5-8GB-256GB"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/7/a672c653-7233-4eae-90fe-3fe7e1399171.jpg.webp"" title=""""/>"
Laptop Hp 8440p Core i5 - Super murah - Bergaransi,Rp2.399.000,"<img alt=""Laptop Hp 8440p Core i5 - Super murah - Bergaransi"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/9/cd102d41-3c3d-4400-b3bc-6e652b1c500d.jpg.webp"" title=""""/>"
Laptop Dell 6410 Core i5 - Super murah - Bergaransi,Rp2.299.000,"<img alt=""Laptop Dell 6410 Core i5 - Super murah - Bergaransi"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/9/0510561d-d23a-4f3e-b292-308f98f76a40.jpg.webp"" title=""""/>"
"LAPTOP ASUS X441BA - AMD A4 9125 4GB 1TB VGA AMD R3 14"" WIN10 RESMI",Rp5.149.000,"<img alt='LAPTOP ASUS X441BA - AMD A4 9125 4GB 1TB VGA AMD R3 14"" WIN10 RESMI' class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/attachment/2020/12/8/31451292/31451292_09b8a1c0-d4f0-418d-82eb-5c66855e2f34.jpg.webp"" title=""""/>"
"LAPTOP MURAH ASUS E402YA-GA202T - AMD E2-7015U RAM 4GB 1TB 14"" WIN10",Rp4.799.000,"<img alt='LAPTOP MURAH ASUS E402YA-GA202T - AMD E2-7015U RAM 4GB 1TB 14"" WIN10' class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/4/8/69830966/69830966_afb815c9-e48e-4e0f-921a-bcdbb6349222_746_746.webp"" title=""""/>"
Laptop HP 14S-CF2017TU SILVER CELERON 4GB 1TB WIN10+OHS 2019 Murah,Rp5.199.000,"<img alt=""Laptop HP 14S-CF2017TU SILVER CELERON 4GB 1TB WIN10+OHS 2019 Murah"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/7/28/573054/573054_e56af653-d86f-4d42-8c46-54fa458dddcb_700_700.webp"" title=""""/>"
"LAPTOP ASUS M409BA - AMD A4 9125 8GB 256GB SSD RADEON R3 14"" W10 RESMI",Rp6.499.000,"<img alt='LAPTOP ASUS M409BA - AMD A4 9125 8GB 256GB SSD RADEON R3 14"" W10 RESMI' class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/4/30/20887591/20887591_b7b591a9-31f9-416a-a5fa-b9845231ca2b_822_822.webp"" title=""""/>"
LAPTOP LENOVO AMD A9 8GB RAM 1TB HDD RADEON R5 WINDOWS 10,Rp6.899.000,"<img alt=""LAPTOP LENOVO AMD A9 8GB RAM 1TB HDD RADEON R5 WINDOWS 10"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/7/10/31763394/31763394_08b9d310-2bff-477f-933f-eff4f7bbe660_700_700.webp"" title=""""/>"
HUAWEI MATEBOOK D15 AMD Ryzen 5 256GB GARANSI RESMI HUAWEI INDONESIA,Rp8.599.000,"<img alt=""HUAWEI MATEBOOK D15 AMD Ryzen 5 256GB GARANSI RESMI HUAWEI INDONESIA"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/9/14/40206780/40206780_76978c51-658d-4cd0-953b-bce1fd305a66_1417_1417.webp"" title=""""/>"
"Acer Aspire 5 A514-53 - i3-1005G1 4GB 512GB + INTEL OPTANE 14"" W10 OHS",Rp7.499.000,"<img alt='Acer Aspire 5 A514-53 - i3-1005G1 4GB 512GB + INTEL OPTANE 14"" W10 OHS' class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/28/fa313b4c-37bc-4289-919d-b470c39c6bfa.png.webp"" title=""""/>"
Laptop Hp 14 Amd A4/8GB/1TB/14inch/win10,Rp5.850.000,"<img alt=""Laptop Hp 14 Amd A4/8GB/1TB/14inch/win10"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/attachment/2019/10/16/157117854637228/157117854637228_fc818290-1ea7-4764-be00-a52c7fb0cedf.png.webp"" title=""""/>"
Laptop Lenovo ideapad Slim 3i Celeron N4020 256 GB SSD Win10+OHS Murah,Rp5.299.000,"<img alt=""Laptop Lenovo ideapad Slim 3i Celeron N4020 256 GB SSD Win10+OHS Murah"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/27/a9c625c0-49cf-4248-98b5-f78c08019d76.jpg.webp"" title=""""/>"
LAPTOP RAM 8GB CORE i5 DENGAN SSD MERK DELL VGA INTEL NVIDIA BONUS TAS - HDD,Rp3.190.000,"<img alt=""LAPTOP RAM 8GB CORE i5 DENGAN SSD MERK DELL VGA INTEL NVIDIA BONUS TAS - HDD"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/5/8ab4a92b-9487-40ca-a9d8-c98d1dd69852.jpg.webp"" title=""""/>"
Laptop HP elitebook 725 G3 - AMD A8 gen 8 - RAM 8GB - VGA RADEON R6 - HDD 500GB,Rp3.499.000,"<img alt=""Laptop HP elitebook 725 G3 - AMD A8 gen 8 - RAM 8GB - VGA RADEON R6 - HDD 500GB"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/5/6a59a622-23cb-4de8-884c-68687b154ff1.jpg.webp"" title=""""/>"
LAPTOP ASUS A451L - i3 4010U - 4GB RAM - NVIDIA GT970M 2GB - CAKEP,Rp3.899.000,"<img alt=""LAPTOP ASUS A451L - i3 4010U - 4GB RAM - NVIDIA GT970M 2GB - CAKEP"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/5/43d76ddd-af6f-4a7b-95de-05e4eccfd688.jpg.webp"" title=""""/>"
Laptop Panasonic Touchscreen | Murah | Bergaransi - SSD 128GB,Rp3.700.000,"<img alt=""Laptop Panasonic Touchscreen | Murah | Bergaransi - SSD 128GB"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/10/30/21094953/21094953_b50e0af2-7012-4215-8cf1-3fc8411036f9_1024_1024.webp"" title=""""/>"
DELL 6400 core2duo murah meriah camera,Rp1.450.000,"<img alt=""DELL 6400 core2duo murah meriah camera"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/9/12/04da7a6c-11a8-4e34-af5a-df2de17bcf6f.jpg.webp"" title=""""/>"
Laptop Dell 5510 Core i5 - Super murah - Bergaransi,Rp2.299.000,"<img alt=""Laptop Dell 5510 Core i5 - Super murah - Bergaransi"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/9/9a33f10f-84b4-49ee-a210-ec5c9178b72f.jpg.webp"" title=""""/>"
LAPTOP MSI GF63 9SCXR [9S7-16R412-838] i5-9300H 8GB 256GB GTX1650 4GB,Rp10.999.000,"<img alt=""LAPTOP MSI GF63 9SCXR [9S7-16R412-838] i5-9300H 8GB 256GB GTX1650 4GB"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/attachment/2020/12/8/31451292/31451292_a15a219a-fad6-4aea-a036-f27e3547644b.jpg.webp"" title=""""/>"
Laptop Lenovo Thinkpad X240 - corei5 4300u - ram 8GB - SSD 240GB - cam,Rp3.699.000,"<img alt=""Laptop Lenovo Thinkpad X240 - corei5 4300u - ram 8GB - SSD 240GB - cam"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2019/2/8/1564219/1564219_a610a649-c5f7-4097-b420-9054664e41a4_1062_1062.jpg.webp"" title=""""/>"
"LENOVO THINKPAD X250 INTEL CORE i5 GEN 5 - RAM 8GB - SSD 180GB - 12""",Rp3.850.000,"<img alt='LENOVO THINKPAD X250 INTEL CORE i5 GEN 5 - RAM 8GB - SSD 180GB - 12""' class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/9/30/21094953/21094953_839666b5-d6d0-4465-a17b-6b5e77e42f9f_2015_2015.webp"" title=""""/>"
Laptop Lenovo ideapad Slim 3i Celeron N4020 256 GB SSD Win10+OHS Murah,Rp5.299.000,"<img alt=""Laptop Lenovo ideapad Slim 3i Celeron N4020 256 GB SSD Win10+OHS Murah"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/27/a9c625c0-49cf-4248-98b5-f78c08019d76.jpg.webp"" title=""""/>"
Obrall Harga Promo Laptop Lenovo Thinkpad T440P ci5 gen4 4200M Mulusss,Rp3.450.000,"<img alt=""Obrall Harga Promo Laptop Lenovo Thinkpad T440P ci5 gen4 4200M Mulusss"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/6/15/439113690/439113690_4a17506d-64f1-4a2b-b071-6407ee5ceed5_2048_2048.jpg.webp"" title=""""/>"
Mulus Sekali Lenovo Thinkpad T420 Core i5 2430M Tangguh,Rp2.350.000,"<img alt=""Mulus Sekali Lenovo Thinkpad T420 Core i5 2430M Tangguh"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2018/7/10/41229944/41229944_b3af47c6-7f60-4951-906d-56c53daee7a0_751_817.jpg.webp"" title=""""/>"
Laptop DELL D630 | Core2Duo | Good Condition |Murah,Rp1.250.000,"<img alt=""Laptop DELL D630 | Core2Duo | Good Condition |Murah"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/9/2a42ead1-8364-47ea-ab75-0c5814a958c4.jpg.webp"" title=""""/>"
"Laptop HP 14s CF2017TU CF2018TU N4020U 4GB 1TB 14"" Win10 Office",Rp5.099.000,"<img alt='Laptop HP 14s CF2017TU CF2018TU N4020U 4GB 1TB 14"" Win10 Office' class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/attachment/2020/12/8/31451292/31451292_5553057e-2e77-4238-97a0-a845f4b56937.jpg.webp"" title=""""/>"
LAPTOP LENOVO THINKPAD YOGA S1 TOUCHSCREEN-CORE I3 GEN 4-4GB-500GB,Rp3.849.000,"<img alt=""LAPTOP LENOVO THINKPAD YOGA S1 TOUCHSCREEN-CORE I3 GEN 4-4GB-500GB"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/7/23e622c9-6a74-4617-9983-0564eb1c086d.jpg.webp"" title=""""/>"
LAPTOP HP PROBOOK 4420S CORE I5 - MEMORI 4 GB - LAYAR 14 INCH - TAS,Rp2.200.000,"<img alt=""LAPTOP HP PROBOOK 4420S CORE I5 - MEMORI 4 GB - LAYAR 14 INCH - TAS"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/9/4/10386604/10386604_c9fcd779-3c9e-4cf6-8cef-4e26d2eeca38_2048_2047.webp"" title=""""/>"
Laptop Lenovo ThinkPad X240 Core i3 | Keren dan Mantapp,Rp2.600.000,"<img alt=""Laptop Lenovo ThinkPad X240 Core i3 | Keren dan Mantapp"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/10/29/b2199e93-cf91-41d1-b5f9-c37e30e777a2.jpg.webp"" title=""""/>"
Laptop Dell Latitude E5470 i5 6300U 8GB 128GB Backlight Keyboard Mulus,Rp4.300.000,"<img alt=""Laptop Dell Latitude E5470 i5 6300U 8GB 128GB Backlight Keyboard Mulus"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/12/7/49574832/49574832_7eb4a745-e4bd-4650-9715-aa2692b642d2_700_525.jpg.webp"" title=""""/>"
Zyrex Notebook Sky 360 mini,Rp4.599.000,"<img alt=""Zyrex Notebook Sky 360 mini"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/3/4c2e0805-c2f8-4988-85e7-4628d75964e6.png.webp"" title=""""/>"
"LAPTOP ASUS X441BA - AMD A4 9125 4GB 1TB VGA AMD R3 14"" WIN10 RESMI",Rp5.150.000,"<img alt='LAPTOP ASUS X441BA - AMD A4 9125 4GB 1TB VGA AMD R3 14"" WIN10 RESMI' class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/5/4/69830966/69830966_5d14722c-71e9-47be-aebb-87eb6bc84ba9_768_768.webp"" title=""""/>"
Laptop Dell 6510 Core i7 - VGA NVDIA - Super murah - Beragaransi,Rp2.849.000,"<img alt=""Laptop Dell 6510 Core i7 - VGA NVDIA - Super murah - Beragaransi"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/9/f0482908-2c7f-4141-9a19-2fad496d6290.jpg.webp"" title=""""/>"
Laptop Lenovo Thinkpad X240 - Core i5 - 8GB - SSD 240GB Murah Garansi,Rp3.699.000,"<img alt=""Laptop Lenovo Thinkpad X240 - Core i5 - 8GB - SSD 240GB Murah Garansi"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/8/23/fa83abc1-8f5a-4ee1-adee-3c329eee4a7c.jpg.webp"" title=""""/>"
ASUS TUF GAMING A15 FX506II RYZEN 7 4800H 8GB 512GB GTX1650Ti 4GB W10,Rp15.599.000,"<img alt=""ASUS TUF GAMING A15 FX506II RYZEN 7 4800H 8GB 512GB GTX1650Ti 4GB W10"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/attachment/2020/12/8/31451292/31451292_f931e242-31c4-4494-8bb6-51748609eb96.jpg.webp"" title=""""/>"
Laptop Dell 6510 Core i5 - Super murah - Bergaransi,Rp2.299.000,"<img alt=""Laptop Dell 6510 Core i5 - Super murah - Bergaransi"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/9/cfb8aa64-71c9-4f55-88b9-6c4cade9547b.jpg.webp"" title=""""/>"
